runid,lan,train_length,test_length,size,varlen,epochs,layers,heads,d_ffnn,scaled,eps,lr
91,palindrome,500,500,100,False,100,2,1,64,False,1e-05,0.0003
92,palindrome,500,500,100,False,100,2,1,64,False,1e-05,0.0003
93,palindrome,500,500,100,False,100,2,1,64,False,1e-05,0.0003
94,palindrome,500,500,100,False,100,2,1,64,False,1e-05,0.0003
95,palindrome,500,500,100,False,100,2,1,64,False,1e-05,0.0003
96,palindrome,500,500,100,False,100,2,1,64,False,1e-05,0.0003
97,palindrome,500,500,100,False,100,2,1,64,False,1e-05,0.0003
98,palindrome,500,500,100,False,100,2,1,64,False,1e-05,0.0003
99,palindrome,500,500,100,False,100,2,1,64,False,1e-05,0.0003
100,palindrome,500,500,100,False,100,2,1,64,False,1e-05,0.0003
101,palindrome,750,750,100,False,100,2,1,64,False,1e-05,0.0003
102,palindrome,750,750,100,False,100,2,1,64,False,1e-05,0.0003
103,palindrome,750,750,100,False,100,2,1,64,False,1e-05,0.0003
104,palindrome,750,750,100,False,100,2,1,64,False,1e-05,0.0003
105,palindrome,750,750,100,False,100,2,1,64,False,1e-05,0.0003
106,palindrome,750,750,100,False,100,2,1,64,False,1e-05,0.0003
107,palindrome,750,750,100,False,100,2,1,64,False,1e-05,0.0003
108,palindrome,750,750,100,False,100,2,1,64,False,1e-05,0.0003
109,palindrome,750,750,100,False,100,2,1,64,False,1e-05,0.0003
110,palindrome,750,750,100,False,100,2,1,64,False,1e-05,0.0003
111,palindrome,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
112,palindrome,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
113,palindrome,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
114,palindrome,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
115,palindrome,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
116,palindrome,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
117,palindrome,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
118,palindrome,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
119,palindrome,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
120,palindrome,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
