runid,epoch,trainloss,vallos,trainacc,valacc
1,1,0.649906896352768,0.6082717728614807,0.64,0.7
1,2,0.6602797538042069,0.5719045451283455,0.64,0.75
1,3,0.6422875264286995,0.586978023648262,0.65,0.69
1,4,0.6277395674586296,0.5690400946140289,0.64,0.76
1,5,0.554896437227726,0.5268331637978554,0.66,0.65
1,6,0.41530656039714814,0.37228652350604535,0.77,0.75
1,7,0.241020190641284,0.13389684610068797,0.93,1.0
1,8,0.09703423395752907,0.07352660536766052,1.0,1.0
1,9,0.06330998595803976,0.05546657163649797,1.0,1.0
1,10,0.05070183988660574,0.04633208815008402,1.0,1.0
1,11,0.04247034281492233,0.03942063312977553,1.0,1.0
1,12,0.03611879808828235,0.03342110760509968,1.0,1.0
1,13,0.030816194023936986,0.028635695818811657,1.0,1.0
1,14,0.026248048227280378,0.02449710011482239,1.0,1.0
1,15,0.022890899628400803,0.021249695140868427,1.0,1.0
1,16,0.019868594650179146,0.018491462413221596,1.0,1.0
1,17,0.017347617223858833,0.016244860906153916,1.0,1.0
1,18,0.015183720542117952,0.01421824550256133,1.0,1.0
1,19,0.013347530364990234,0.012525095893070102,1.0,1.0
1,20,0.011812015408650041,0.011104270108044148,1.0,1.0
1,21,0.010464345095679164,0.00984547139145434,1.0,1.0
1,22,0.009309680005535483,0.008769265301525593,1.0,1.0
1,23,0.008300637104548514,0.007847200925461949,1.0,1.0
1,24,0.007419601916335523,0.007048425297252834,1.0,1.0
1,25,0.006681867348961532,0.006309641846455633,1.0,1.0
1,26,0.0060090669570490715,0.005676268292590976,1.0,1.0
1,27,0.005416745278052986,0.0051317901955917474,1.0,1.0
1,28,0.004865139261819422,0.004648203724063933,1.0,1.0
1,29,0.004437591531313956,0.004196251328103244,1.0,1.0
1,30,0.004032105815131217,0.003827432955149561,1.0,1.0
1,31,0.003657477602828294,0.0034614101774059236,1.0,1.0
1,32,0.0033194364910013974,0.0031928346725180745,1.0,1.0
1,33,0.0030405881674960256,0.002928874471690506,1.0,1.0
1,34,0.0028062730096280577,0.002664805338717997,1.0,1.0
1,35,0.0025475659733638165,0.0024879374890588225,1.0,1.0
1,36,0.0023217106191441416,0.0022569134226068854,1.0,1.0
1,37,0.0021505890763364732,0.0020782644301652908,1.0,1.0
1,38,0.0019641676009632646,0.0019249590579420329,1.0,1.0
1,39,0.0018318964738864452,0.0017919077700935303,1.0,1.0
1,40,0.0016949654940981418,0.0016355124756228178,1.0,1.0
1,41,0.001554605986457318,0.0014774585468694567,1.0,1.0
1,42,0.0014395444432739168,0.0013858095812611282,1.0,1.0
1,43,0.0013311363023240119,0.001270841215737164,1.0,1.0
1,44,0.0012365983345080168,0.001187930079177022,1.0,1.0
1,45,0.0011360061564482749,0.0011003696965053678,1.0,1.0
1,46,0.0010452176723629236,0.0010029556322842836,1.0,1.0
1,47,0.0009882971335900947,0.0009654140600468963,1.0,1.0
1,48,0.0009130552451824769,0.0008531996898818761,1.0,1.0
1,49,0.0008527566370321438,0.0008183584036305547,1.0,1.0
1,50,0.0007903330912813544,0.0007615880307275802,1.0,1.0
1,51,0.0007338328199693933,0.0007206700573442504,1.0,1.0
1,52,0.0006849364965455607,0.0006694213894661516,1.0,1.0
1,53,0.0006402131344657392,0.0006273517158115283,1.0,1.0
1,54,0.0005931869649793953,0.0005694803246296942,1.0,1.0
1,55,0.0005474908120231703,0.0005343523848569021,1.0,1.0
1,56,0.0005167909990996122,0.0004992533821496181,1.0,1.0
1,57,0.0004896799099515192,0.0004613276614691131,1.0,1.0
1,58,0.00046302133094286544,0.00043600387987680734,1.0,1.0
1,59,0.00043156032275874166,0.0004091755341505632,1.0,1.0
1,60,0.0003968949007685296,0.00037304030993254853,1.0,1.0
1,61,0.0003726901800837368,0.00035542378289392216,1.0,1.0
1,62,0.00034590613679029046,0.0003338187184999697,1.0,1.0
1,63,0.0003164384394767694,0.0003213327081175521,1.0,1.0
1,64,0.00030495193757815284,0.00029754740302450955,1.0,1.0
1,65,0.0002856204760610126,0.00027314878709148614,1.0,1.0
1,66,0.00026150488993152975,0.00025957757170544935,1.0,1.0
1,67,0.00025554905558237804,0.00023810805927496404,1.0,1.0
1,68,0.00023148327047238127,0.00022857134754303843,1.0,1.0
1,69,0.00022269652617978863,0.00021363918975112029,1.0,1.0
1,70,0.00020852598565397783,0.0002052305967663415,1.0,1.0
1,71,0.00019568156014429405,0.00019019409315660597,1.0,1.0
1,72,0.00018622066752868705,0.00017421384414774367,1.0,1.0
1,73,0.00017014852215652354,0.0001659876662597526,1.0,1.0
1,74,0.00016050645281211472,0.0001582572842016816,1.0,1.0
1,75,0.0001509290889953263,0.00014736273151356728,1.0,1.0
1,76,0.00014391836622962729,0.00013595160220575053,1.0,1.0
1,77,0.00013198152984841727,0.00013266684400150552,1.0,1.0
1,78,0.00012554984721646178,0.00012258528477104846,1.0,1.0
1,79,0.00012152655399404466,0.00011351055516570341,1.0,1.0
1,80,0.00011173149534442927,0.00010715178985265083,1.0,1.0
1,81,0.00010587429846054874,0.00010170050685701426,1.0,1.0
1,82,0.00010144088439119514,9.4348494822043e-05,1.0,1.0
1,83,9.611671055608894e-05,8.938153659983072e-05,1.0,1.0
1,84,8.81214055698365e-05,8.449457614915445e-05,1.0,1.0
1,85,8.169916349288541e-05,7.932732929475605e-05,1.0,1.0
1,86,7.783979897794779e-05,7.550031928985845e-05,1.0,1.0
1,87,7.39208693994442e-05,7.110561229637824e-05,1.0,1.0
1,88,6.854746337921825e-05,6.620374118938343e-05,1.0,1.0
