runid,epoch,trainloss,vallos,trainacc,valacc
13,1,0.6547446924448014,0.6090030407905579,0.61,0.7
13,2,0.6503460577130318,0.5730576840043068,0.64,0.75
13,3,0.6317851628363133,0.5737932959198951,0.64,0.69
13,4,0.6211749431490898,0.5514782816171646,0.64,0.76
13,5,0.5906280463933945,0.5783072283864021,0.68,0.65
13,6,0.5207769158482551,0.4622632247209549,0.69,0.7
13,7,0.3999869555979967,0.28508373960852623,0.85,1.0
13,8,0.1767358236759901,0.09410727940499783,1.0,1.0
13,9,0.07653876379132271,0.06310761902481317,1.0,1.0
13,10,0.05681797094643116,0.05119260109961033,1.0,1.0
13,11,0.04668310448527336,0.04308175563812256,1.0,1.0
13,12,0.03938341360539198,0.03626361984759569,1.0,1.0
13,13,0.03336293041706085,0.03091805538162589,1.0,1.0
13,14,0.028264115322381256,0.026265865471214057,1.0,1.0
13,15,0.024435017704963684,0.022553716003894806,1.0,1.0
13,16,0.02095233481377363,0.019396236333996057,1.0,1.0
13,17,0.01804908912628889,0.016740077845752238,1.0,1.0
13,18,0.015551711544394492,0.014458983847871422,1.0,1.0
13,19,0.013473558397963643,0.012526157405227422,1.0,1.0
13,20,0.01169036048464477,0.01089196341112256,1.0,1.0
13,21,0.010152687439695001,0.009451510701328516,1.0,1.0
13,22,0.008879686957225203,0.008275604695081712,1.0,1.0
13,23,0.007761396942660212,0.00728690704330802,1.0,1.0
13,24,0.006782792755402624,0.006426275023259222,1.0,1.0
13,25,0.00600814116653055,0.005583459413610398,1.0,1.0
13,26,0.005280550387687981,0.004923837757669389,1.0,1.0
13,27,0.004663546485826373,0.004370583253912628,1.0,1.0
13,28,0.004081679389346391,0.003893624683842063,1.0,1.0
13,29,0.003676377912051976,0.003427824305836111,1.0,1.0
13,30,0.0032839848543517293,0.0030730333598330615,1.0,1.0
13,31,0.002915377567987889,0.002707540183328092,1.0,1.0
13,32,0.0025865179346874355,0.0024858492496423424,1.0,1.0
13,33,0.0023339763283729553,0.0022421632311306894,1.0,1.0
13,34,0.002137676284182817,0.0019963838311377914,1.0,1.0
13,35,0.001889764709630981,0.0018551174993626774,1.0,1.0
13,36,0.0016877924907021224,0.001645559302996844,1.0,1.0
13,37,0.0015466164040844887,0.0014916924154385924,1.0,1.0
13,38,0.0013893973920494319,0.001365212448872626,1.0,1.0
13,39,0.0012850308232009412,0.0012603981944266708,1.0,1.0
13,40,0.0011735252803191543,0.0011291671765502542,1.0,1.0
13,41,0.0010575600119773299,0.0009933404938783496,1.0,1.0
13,42,0.0009674329333938658,0.0009271414758404717,1.0,1.0
13,43,0.0008839959307806566,0.0008353249880019575,1.0,1.0
13,44,0.0008114609617041424,0.0007753999199485406,1.0,1.0
13,45,0.0007330918940715492,0.0007097677019191906,1.0,1.0
13,46,0.0006655313668306917,0.0006320606981171295,1.0,1.0
13,47,0.000626437411410734,0.0006134663126431406,1.0,1.0
13,48,0.0005726439855061471,0.0005222215462708846,1.0,1.0
13,49,0.0005300316744251177,0.0005048223928315565,1.0,1.0
13,50,0.00048450961534399537,0.00046505762031301856,1.0,1.0
13,51,0.0004456480543012731,0.0004391889518592507,1.0,1.0
13,52,0.00041220946615794674,0.0004034930295892991,1.0,1.0
13,53,0.00038236916036112236,0.00037540162360528485,1.0,1.0
13,54,0.0003502257808577269,0.00033378030260792,1.0,1.0
13,55,0.0003188807229162194,0.0003116078593302518,1.0,1.0
13,56,0.0003001477976795286,0.0002893668063916266,1.0,1.0
13,57,0.00028398322392604315,0.00026332362220273355,1.0,1.0
13,58,0.00026782082961290143,0.0002477605135936756,1.0,1.0
13,59,0.0002472584195493255,0.00023116821757867,1.0,1.0
13,60,0.0002244284072367009,0.00020719257387099787,1.0,1.0
13,61,0.0002087125985417515,0.00019775655149715022,1.0,1.0
13,62,0.00019220434740418568,0.0001844977168366313,1.0,1.0
13,63,0.00017307525442447513,0.00017852559700259007,1.0,1.0
13,64,0.00016748404435929843,0.00016358368826331572,1.0,1.0
13,65,0.00015619021520251407,0.0001479384984122589,1.0,1.0
13,66,0.0001403623173973756,0.0001405888298904756,1.0,1.0
13,67,0.0001389012204890605,0.0001270726136135636,1.0,1.0
13,68,0.00012360381333564874,0.0001222888940537814,1.0,1.0
13,69,0.00011935150141653139,0.00011372578810551204,1.0,1.0
13,70,0.00011091281441622414,0.00010952581898891367,1.0,1.0
13,71,0.00010359772400988731,0.00010047693227534182,1.0,1.0
13,72,9.852788876742125e-05,9.072802866285202e-05,1.0,1.0
13,73,8.865777046594303e-05,8.659163941047155e-05,1.0,1.0
13,74,8.335903934494127e-05,8.263838644779753e-05,1.0,1.0
13,75,7.81037889100844e-05,7.636246722540818e-05,1.0,1.0
13,76,7.46320236066822e-05,6.95897224068176e-05,1.0,1.0
13,77,6.745888276782352e-05,6.861476151243551e-05,1.0,1.0
13,78,6.417809494450921e-05,6.269971647270722e-05,1.0,1.0
13,79,6.252641520404723e-05,5.7377325392735654e-05,1.0,1.0
13,80,5.6855639995774255e-05,5.415157957031624e-05,1.0,1.0
13,81,5.374941640184261e-05,5.130623419972835e-05,1.0,1.0
13,82,5.163126035768073e-05,4.718514304840937e-05,1.0,1.0
13,83,4.887133862212067e-05,4.4592271151486785e-05,1.0,1.0
13,84,4.4173012793180535e-05,4.212784049741458e-05,1.0,1.0
13,85,4.0553275575803126e-05,3.933016712835524e-05,1.0,1.0
13,86,3.873155197652522e-05,3.745182704733452e-05,1.0,1.0
13,87,3.6718417777592546e-05,3.520209340422298e-05,1.0,1.0
13,88,3.371223978319904e-05,3.2529521340620705e-05,1.0,1.0
13,89,3.177849339408567e-05,3.073591360589489e-05,1.0,1.0
13,90,2.8869005091110013e-05,2.89839698234573e-05,1.0,1.0
13,91,2.881606615119381e-05,2.6482783523533728e-05,1.0,1.0
13,92,2.597041640910902e-05,2.5824899748840834e-05,1.0,1.0
13,93,2.6014667164417914e-05,2.3607362581969937e-05,1.0,1.0
13,94,2.4153171107172966e-05,2.2568424719793255e-05,1.0,1.0
13,95,2.210543974797474e-05,2.1323447726899757e-05,1.0,1.0
13,96,2.0936381588398945e-05,2.029355700869928e-05,1.0,1.0
13,97,2.018020604737103e-05,1.8709269215833047e-05,1.0,1.0
13,98,1.8584658218969706e-05,1.7796718657336898e-05,1.0,1.0
13,99,1.7265115411646546e-05,1.5972270930433296e-05,1.0,1.0
13,100,1.6177399102161873e-05,1.5413135342896568e-05,1.0,1.0
14,1,0.6949057617783546,0.6170311230421066,0.58,0.69
14,2,0.6573653942346573,0.6589859899878502,0.63,0.62
14,3,0.5986246594786644,0.5939143334329128,0.69,0.65
14,4,0.5163666497170926,0.5465627792477608,0.77,0.73
14,5,0.5594807466864586,0.5315379458665848,0.7,0.78
14,6,0.57358055382967,0.43979154139757154,0.69,1.0
14,7,0.3098503718525171,0.17734609551727773,1.0,1.0
14,8,0.12484643548727035,0.08568243987858296,1.0,1.0
14,9,0.07245715018361806,0.061829748079180714,1.0,1.0
14,10,0.055616739057004455,0.05051461465656757,1.0,1.0
14,11,0.04710053168237209,0.04307750288397074,1.0,1.0
14,12,0.039638348743319514,0.03617093700915575,1.0,1.0
14,13,0.034247633814811704,0.03127816624939442,1.0,1.0
14,14,0.02918996173888445,0.02707738470286131,1.0,1.0
14,15,0.025267836265265943,0.023499391451478006,1.0,1.0
14,16,0.0220149851962924,0.020426210463047028,1.0,1.0
14,17,0.019082904532551764,0.01782749205827713,1.0,1.0
14,18,0.016666616797447204,0.015521376496180891,1.0,1.0
14,19,0.014519650069996715,0.013570753587409855,1.0,1.0
14,20,0.012701569683849811,0.011897399071604014,1.0,1.0
14,21,0.011198919853195549,0.010453848838806153,1.0,1.0
14,22,0.009702786142006516,0.00929005328565836,1.0,1.0
14,23,0.00866666628047824,0.007992467028088868,1.0,1.0
14,24,0.007574146431870758,0.007096643382683396,1.0,1.0
14,25,0.0067199277458712455,0.006351969065144658,1.0,1.0
14,26,0.005975139369256794,0.005538083934225142,1.0,1.0
14,27,0.0053061181772500274,0.005061833686195314,1.0,1.0
14,28,0.004665894894860685,0.004393279096111655,1.0,1.0
14,29,0.0041433174558915195,0.003894492050167173,1.0,1.0
14,30,0.0036938490835018455,0.003481528889387846,1.0,1.0
14,31,0.0033076136792078614,0.003151969697792083,1.0,1.0
14,32,0.0030112052778713404,0.002796615795232356,1.0,1.0
14,33,0.002644445898476988,0.0025022572185844183,1.0,1.0
14,34,0.0024365688185207547,0.002235012878663838,1.0,1.0
14,35,0.002125351133290678,0.002057218245463446,1.0,1.0
14,36,0.0019267028593458234,0.0018304637144319713,1.0,1.0
14,37,0.0017482917790766805,0.0016021887818351388,1.0,1.0
14,38,0.001603340272558853,0.0014646335388533772,1.0,1.0
14,39,0.0014239995717070996,0.0013503307080827654,1.0,1.0
14,40,0.001283000848488882,0.0012661747215315699,1.0,1.0
14,41,0.0011567888653371482,0.001101343196351081,1.0,1.0
14,42,0.0010810261190636083,0.0010072642384329812,1.0,1.0
14,43,0.0009693379123928025,0.0009589363366831094,1.0,1.0
14,44,0.0008958945056656376,0.000849351150682196,1.0,1.0
14,45,0.0008140977047150955,0.0007554179866565391,1.0,1.0
14,46,0.0007448805804597214,0.0007062017568387092,1.0,1.0
14,47,0.0006663899449631572,0.0006521342729683965,1.0,1.0
14,48,0.0006323895370587706,0.000592264276347123,1.0,1.0
14,49,0.000561388029018417,0.0005340114401769825,1.0,1.0
14,50,0.000524343192228116,0.0005002965178573504,1.0,1.0
14,51,0.0004802006544196047,0.00047324405575636773,1.0,1.0
14,52,0.0004437685600714758,0.0004212015494704246,1.0,1.0
14,53,0.0004148464885656722,0.00039346015226328747,1.0,1.0
14,54,0.00037139849708182736,0.0003597528990940191,1.0,1.0
14,55,0.0003554764814907685,0.0003316477275802754,1.0,1.0
14,56,0.00032443094009067865,0.0003099431039299816,1.0,1.0
14,57,0.0002917763259029016,0.0002761783360620029,1.0,1.0
14,58,0.0002629823930328712,0.0002557918283855543,1.0,1.0
14,59,0.0002574062062194571,0.00024589004809968175,1.0,1.0
14,60,0.00023186801685369572,0.0002242870902409777,1.0,1.0
14,61,0.00022075961984228344,0.0002058319743082393,1.0,1.0
14,62,0.0002005115842621308,0.00019086467858869582,1.0,1.0
14,63,0.00018667713506147264,0.00018086329233483412,1.0,1.0
14,64,0.00016871314321178943,0.00016883175150724127,1.0,1.0
14,65,0.00016670907411025837,0.00015399748474010267,1.0,1.0
14,66,0.0001498372622882016,0.0001451144352176925,1.0,1.0
14,67,0.00013432840547466184,0.00013684867975825908,1.0,1.0
14,68,0.00013141839037416502,0.00012416564939485397,1.0,1.0
14,69,0.00012129776056099217,0.00011611116846324876,1.0,1.0
14,70,0.0001117757509200601,0.00010844741278560832,1.0,1.0
14,71,0.00010724259431299288,9.943741242750548e-05,1.0,1.0
14,72,9.700078691821546e-05,9.595093913958408e-05,1.0,1.0
14,73,9.494497098785359e-05,8.869658100593369e-05,1.0,1.0
14,74,8.40778776910156e-05,8.39104171609506e-05,1.0,1.0
14,75,8.021777633985039e-05,7.93800585961435e-05,1.0,1.0
14,76,7.493167628126685e-05,7.15532204048941e-05,1.0,1.0
14,77,6.776725953386631e-05,6.937425292562694e-05,1.0,1.0
14,78,6.46188344762777e-05,6.339687319268705e-05,1.0,1.0
14,79,6.388670353771886e-05,5.854039693076629e-05,1.0,1.0
14,80,5.610505002550781e-05,5.662506264343392e-05,1.0,1.0
14,81,5.188206439925125e-05,5.234715827100445e-05,1.0,1.0
14,82,4.948812456859741e-05,4.734068574180128e-05,1.0,1.0
14,83,4.898827253782656e-05,4.522750590695068e-05,1.0,1.0
14,84,4.26664530459675e-05,4.3908348779950756e-05,1.0,1.0
14,85,4.135987161134835e-05,4.0705265855649484e-05,1.0,1.0
14,86,3.8738795719837075e-05,3.6835979626630435e-05,1.0,1.0
14,87,3.690288462166791e-05,3.5799736542685424e-05,1.0,1.0
14,88,3.290454724265146e-05,3.315218831630773e-05,1.0,1.0
14,89,3.360310936841415e-05,3.109765795670683e-05,1.0,1.0
14,90,3.0404799163079587e-05,3.053705237107351e-05,1.0,1.0
14,91,2.761480647677672e-05,2.6611372613842833e-05,1.0,1.0
14,92,2.65381930876174e-05,2.4465973110636698e-05,1.0,1.0
14,93,2.575140706539969e-05,2.4099695237964625e-05,1.0,1.0
