runid,lan,train_length,test_length,size,varlen,epochs,layers,heads,d_ffnn,scaled,eps,lr
99,one,500,500,100,False,100,2,1,64,False,1e-05,0.0003
100,one,500,500,100,False,100,2,1,64,False,1e-05,0.0003
101,one,750,750,100,False,100,2,1,64,False,1e-05,0.0003
102,one,750,750,100,False,100,2,1,64,False,1e-05,0.0003
103,one,750,750,100,False,100,2,1,64,False,1e-05,0.0003
104,one,750,750,100,False,100,2,1,64,False,1e-05,0.0003
105,one,750,750,100,False,100,2,1,64,False,1e-05,0.0003
106,one,750,750,100,False,100,2,1,64,False,1e-05,0.0003
107,one,750,750,100,False,100,2,1,64,False,1e-05,0.0003
108,one,750,750,100,False,100,2,1,64,False,1e-05,0.0003
109,one,750,750,100,False,100,2,1,64,False,1e-05,0.0003
110,one,750,750,100,False,100,2,1,64,False,1e-05,0.0003
111,one,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
112,one,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
113,one,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
114,one,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
115,one,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
116,one,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
117,one,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
118,one,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
119,one,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
120,one,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
