runid,lan,train_length,test_length,size,varlen,epochs,layers,heads,d_ffnn,scaled,eps,lr
99,first,500,500,100,False,100,2,1,64,True,1e-05,0.0003
100,first,500,500,100,False,100,2,1,64,True,1e-05,0.0003
101,first,750,750,100,False,100,2,1,64,True,1e-05,0.0003
102,first,750,750,100,False,100,2,1,64,True,1e-05,0.0003
103,first,750,750,100,False,100,2,1,64,True,1e-05,0.0003
104,first,750,750,100,False,100,2,1,64,True,1e-05,0.0003
105,first,750,750,100,False,100,2,1,64,True,1e-05,0.0003
106,first,750,750,100,False,100,2,1,64,True,1e-05,0.0003
107,first,750,750,100,False,100,2,1,64,True,1e-05,0.0003
108,first,750,750,100,False,100,2,1,64,True,1e-05,0.0003
109,first,750,750,100,False,100,2,1,64,True,1e-05,0.0003
110,first,750,750,100,False,100,2,1,64,True,1e-05,0.0003
111,first,1000,1000,100,False,100,2,1,64,True,1e-05,0.0003
112,first,1000,1000,100,False,100,2,1,64,True,1e-05,0.0003
113,first,1000,1000,100,False,100,2,1,64,True,1e-05,0.0003
114,first,1000,1000,100,False,100,2,1,64,True,1e-05,0.0003
115,first,1000,1000,100,False,100,2,1,64,True,1e-05,0.0003
116,first,1000,1000,100,False,100,2,1,64,True,1e-05,0.0003
117,first,1000,1000,100,False,100,2,1,64,True,1e-05,0.0003
118,first,1000,1000,100,False,100,2,1,64,True,1e-05,0.0003
119,first,1000,1000,100,False,100,2,1,64,True,1e-05,0.0003
120,first,1000,1000,100,False,100,2,1,64,True,1e-05,0.0003
